nvx_t,nvx_y,nvx_y_65
2020-03-01,0,0
2020-12-11,0,0
2020-12-18,0,0
2020-12-25,0,0
2021-01-01,10000,3500
2021-01-08,10000,3500
2021-01-15,10000,3500
2021-01-22,10000,3500
2021-01-29,10000,3500
2021-02-05,10000,3500
2021-02-12,10000,3500
2021-02-19,10000,3500
2021-02-26,10000,3500
2021-03-05,20000,7000
2021-03-12,20000,7000
2021-03-19,20000,7000
2021-03-26,20000,7000
2021-04-02,20000,7000
2021-04-09,20000,7000
2021-04-16,20000,7000
2021-04-23,20000,7000
2021-04-30,20000,7000
2021-05-07,20000,7000
2021-05-14,20000,7000
2021-05-21,20000,7000
2021-05-28,20000,7000
2021-06-04,20000,7000
2021-06-11,20000,7000
2021-06-18,20000,7000
2021-06-25,20000,7000
2021-07-02,20000,7000
2021-07-09,20000,7000
2021-07-16,20000,7000
2021-07-23,20000,7000
2021-07-30,20000,7000
2021-08-06,20000,7000
2021-08-13,20000,7000
2021-08-20,20000,7000
2021-08-27,20000,7000
2021-09-03,20000,7000
2021-09-10,20000,7000
2021-09-17,20000,7000
2021-09-24,20000,7000
2021-10-01,20000,7000